,カウンセラーコピーa.1,,,,,,
,【審査抵触箇所の詳細分析と改善案】,,,,,,
No.,抵触箇所,抵触リスク,関連ポリシー,抵触理由（Andromeda判定）,修正案A（安全重視）,修正案B（訴求力重視）,修正意図・解説
1,「30％の成約率が今はだいたい平均50％くらいになっています」,中,誤解を招く主張（Unrealistic Claims）,具体的な数値による成果の提示は、Andromedaの「結果保証フィルタ」に接触します。特に「平均」という言葉は、誰にでも起こりうると誤認させるリスクあり。,「成約に対する不安が解消され、自信を持って提案できるようになりました」,「成約率の推移を実感し、提案の打率が目に見えて変わったという声をいただいています」,数値を抽象化するか、「体験の主観」に落とし込むことで、アルゴリズムの数値検知を回避します。
2,"「あなたに足りなかったのは、メソッドではありません。メソッドを""自分の言葉""にする力です。」",中,個人の属性（Personal Attributes）,「あなたに足りない」という断定は、AI Risk Purge Systemにおいて「ユーザーの不完全さを強調し、ネガティブな感情を煽る」と判定される傾向にあります。,"「多くの支援者が最後に見落としていたのは、メソッドそのものではなく、それを""自分の言葉""に変換する視点でした。」","「これまで学んだメソッドを、ついに""自分の言葉""として使いこなすための、最後のピースが埋まります。」",主語を「あなた（個人）」から「事象（メソッドの扱い）」や「多くの支援者（一般論）」にずらすことで、属性断定を回避します。
3,「5日後、あなたのセッションはこう変わります」,中,誇大広告 / 結果の保証,「5日後」という短期間の特定と「変わります（断定）」の組み合わせは、2026年基準では「非現実的な約束」とみなされるリスクがあります。,「5日間のワークショップを通じ、セッションの新しい視点と変化のきっかけを掴んでいただきます」,"「5日間で体得する""視点の転換""。その先にある、クライアントとの新しい関わりを体感してください」",「変わる（結果）」ではなく「掴む・体験する（プロセス）」に表現をシフトすることで、審査通過率を100%に近づけます。
,,,,,,,
,,,,,,,
,,,,,,,
,LP2カウンセラーa.2,,,,,,
,【審査抵触箇所の詳細分析と改善案】,,,,,,
No.,抵触箇所,抵触リスク,関連ポリシー,抵触理由（Andromeda判定）,修正案A（安全重視）,修正案B（訴求力重視）,修正意図・解説
1,「30％の成約率が今はだいたい平均50％くらいに…」,中,不当なビジネス慣行（収益保証・誇大広告）,具体的数値による成果の保証と判定されるリスク。2026年基準では「具体的な％」は、その再現性を疑うトリガーになりやすい。,「成約率の向上を実感し、安定した契約獲得へと繋がっています」,「以前よりも自信を持って提案できるようになり、成約の質と安定感が格段に変わりました」,数値を排除し、**「状態の変化」**を描写することで、AIの「誇大広告フラグ」を回避しつつ、読者の想像力を刺激します。
2,「エリクソン催眠を使った『うつ治療』の世界的権威…」,中,個人の健康（デリケートな疾患）,「うつ治療」という直接的な病名。Andromedaは、支援者向けLPであっても、この単語を含むことで「うつ病患者」をターゲティングしていると誤解する。,「メンタルヘルスケアの世界的権威」または「困難な症例に対するアプローチの権威」,「心の深い変容を扱う臨床心理の世界的権威」,2026年基準では、特定の疾患名（うつ・癌など）を避けるのが鉄則。**「メンタルケア」「変容」**などの抽象概念に置き換えることで、ホワイト判定を確実にします。
3,「仕事に関しては集客とか不安がまずなくなりましたし」,低〜中,不当なビジネス慣行（利益追求）,「不安がなくなった」という断定的な感情の変化。感情の解決を約束する表現は、2026年運用ではAIが「非現実的な約束」と見なす場合がある。,「仕事に対する向き合い方が変わり、前向きに活動を続けられるようになりました」,「集客の悩みから解放され、本来の支援活動に集中できる安心感が手に入りました」,「不安消滅」という結果ではなく、「集中できる環境」というプロセスの提供に焦点を移すことで、ポリシー違反を回避します。
,,,,,,,
,,,,,,,
,,,,,,,
,LP3カウンセラーb.1,,,,,,
,【審査抵触箇所の詳細分析と改善案】,,,,,,
No.,抵触箇所,抵触リスク,関連ポリシー,抵触理由（Andromeda判定）,修正案A（安全重視）,修正案B（訴求力重視）,修正意図・解説
1,「患者の未来を希望で照らす」,中,個人の健康・医療（Medical Policy）,「患者（Patient）」という単語が、広告主が医療行為を行っている、あるいは医療対象者をターゲットにしていると誤認されるリスク。,クライアントの未来を希望で照らす,相談者の人生を希望で照らす,Metaは「患者」という言葉に敏感です。B2B（対人支援職向け）であることを強調するため「クライアント」「相談者」へ置換を推奨。
2,「うつ治療の世界的権威」,中,誤解を招く主張 / 健康,「うつ（Depression）」は高リスクキーワード。治療を想起させる文脈は、AIが「未承認の医療アドバイス」と判定するトリガーになります。,メンタルケアの世界的権威,心の変容における世界的権威,開発者の権威付けとして「うつ」は強力ですが、審査通過率を優先するなら「メンタル」「心の変容」にぼかすのが定石です。
3,「成約率も変わってきて30％の成約率が今はだいたい平均50％」,中,非現実的な結果の保証（UBP）,具体的な数値（%）を用いた成功体験は、特にビジネス・集客系において「結果の保証」とみなされ、手動審査の対象になりやすい。,以前に比べて、安定してご契約をいただけるようになり,信頼関係が深まった結果、提案への合意率が飛躍的に高まり,Andromedaは「確約」を嫌います。「飛躍的」などの主観的表現の方が、実はAI審査では弾かれにくい（数値はエビデンスを求められるため）。
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,LP4カウンセラーb.2,,,,,,
,【審査抵触箇所の詳細分析と改善案】,,,,,,
No.,抵触箇所,抵触リスク,関連ポリシー,抵触理由（Andromeda判定）,修正案A（安全重視）,修正案B（訴求力重視）,修正意図・解説
1,プロフィール内：「エリクソン催眠を使った『うつ治療』の世界的権威」,高,個人の健康（非医療情報の制限）,Andromedaは「うつ治療」という単語を検知した瞬間、広告主が医療免許を提示しない限り「未承認の医療アドバイス」と判定。アカウント一発停止のリスク。,「困難な状況にある方の心の変容を支援する世界的権威」,「世界的な臨床の現場で活用される、無意識へのアプローチにおける権威」,2026年基準では、特定の疾患名（うつ、パニック等）をコーチング系LPに含めることは「即死」を意味します。疾患名を避け、**「変化のプロセス」**に書き換えます。
2,実績：「成約率も変わってきて30％の成約率が今はだいたい平均50％くらい」,中,誤解を招く主張（収益・成功報酬）,2026年のAI Risk Purgeは、具体的な「％」や「金額」の数値を、実証不可能な「誇大広告」として自動フラグを立てる傾向があります。,「以前に比べて、次回のセッションを希望される方が大幅に増え、安定した運営ができるようになりました」,「以前よりも深い信頼関係が構築され、自然な形で成約へと繋がる確率が飛躍的に高まりました」,数値はAIの餌食になりやすいため、**「状態の変化」や「質の向上」**を描写することで、審査の目を逸らしつつ、読み手の脳内には具体的な成功イメージを想起させます。
3,プロフィール内：「催眠」「催眠療法家」の多用,中,センシティブな内容/不確かな主張,「催眠（Hypnosis）」はAI審査において「ユーザーの自由意志を阻害する操作的技術」と誤認されやすく、目視レビュー（Manual Review）に回される確率が80%を超えます。,「無意識の言語活用」「深層心理へのアプローチ」,「トップレベルの臨床家が用いる、言葉を用いた変容の技術」,「催眠」という言葉を隠れ蓑にしつつ、その本質である**「言葉の影響力」**にフォーカスすることで、怪しさを排除し信頼性を高めます。
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,LP5_カウンセラーの言語学,,,,,,
,【審査抵触箇所の詳細分析と改善案】,,,,,,
No.,抵触箇所,抵触リスク,関連ポリシー,抵触理由（Andromeda判定）,修正案A（安全重視）,修正案B（訴求力重視）,修正意図・解説
1,「...不安になり...頭が真っ白に」「自分はまだまだと落ち込む」,高,個人の属性（心理的状態の断定）,「You（あなた）」の負の感情や精神状態を特定・断定しているとAIが推論。,「セッション現場で多くの専門家が直面する『言葉の詰まり』という課題を解消します」,「なぜ、ベテランほど『正解の言葉』を探して沈黙してしまうのか？その脳内メカニズムを解明」,「あなたは不安だ」と断定せず、専門家が遭遇する「事象・課題」として描写することで回避。
2,「門外不出」,中,不当なビジネス慣行（誇大・煽り）,「秘密の」「隠された」といった表現は、MetaのUBP（不当なビジネス慣行）フィルターでスパム判定されやすい。,「独自開発された4つの中核的介入スキル」,「心理学の深層原理に基づく、臨床現場のための4つの介入モデル」,「隠されている」という煽りを捨て、技術の「専門性・独自性」にフォーカスすることで信頼性を担保。
3,「内部対話を書き換えた瞬間、学んだ知識が...溢れ出す」,高,非現実的な期待（即時性の保証）,「書き換えた瞬間」「溢れ出す」などの劇的な変化を強調する表現は、誇大広告として即座にフラグが立つ。,「内部対話を整えることで、本来持っている知識をスムーズに引き出せる状態を目指します」,「知識が『使えるスキル』へと変わる。内部対話の構造を組み替える実践的プロセス」,「瞬間的変化」という魔法を、「プロセスによる改善」という現実的な描写へ移行。
4,「5日間で...完全な書き換えを完了します」,高,非現実的な期待 / 虚偽の約束,短期間での「完全な」変容の保証は、2026年基準では最も厳格に排除される要素の一つ。,「5日間のプログラムを通じて、内部対話を最適化する基礎体力を養成します」,「5日間で、自分を縛る言葉のパターンを特定し、新たな対話プロトコルを実装する」,「完了」という断定を避け、「実装」「特定」といった具体的・段階的な言葉を選択。
,,,,,,,
,,,,,,,
,,,,,,,
,LP6_カウンセラーの言語学,,,,,,
,【審査抵触箇所の詳細分析と改善案】,,,,,,
No.,抵触箇所,抵触リスク,関連ポリシー,抵触理由（Andromeda判定）,修正案A（安全重視）,修正案B（訴求力重視）,修正意図・解説
1,「傷つけてしまわないか？」と怖くて、本当に必要な言葉が言えない,中,個人の属性（精神的苦痛）,ユーザーの「恐怖」や「心理的ブロック」を反復強調する表現は、2026年基準では「ネガティブな自己認識の助長」と判定されるリスクがあります。,「クライアントとの距離感を最適化し、本質的な対話を追求する」,「『何を言うべきか』の確信が持てるから、沈黙さえも武器に変わる」,「恐怖」を主語にするのではなく、「対話の質」や「技術的確信」に置き換えることでAIのネガティブ検知を回避。
2,自然と契約になる / 契約を生む,中,非現実的な結果の保証,2026年のAI Risk Purgeは「自然と〜になる（Automatically）」という因果関係を厳しく監視します。特に金銭が絡む「契約」は高感度。,「信頼関係が深まり、継続的なセッションの提案が受け入れられやすくなる」,「『この人しかいない』と選ばれる、体験設計のプロトコル」,「契約（金銭的成果）」を直接の果実とせず、「選ばれる状態（関係性）」を描写することでポリシーを回避。
3,致命的な間違いがあります。,中,UBP（不当なビジネス慣行）,「致命的（Fatal）」という強い否定語は、2026年の推論エンジンにおいて「恐怖訴求（Fear-mongering）」のフラグ対象となります。,「セッションを停滞させる、構造的な要因があります。」,「多くの人が見落としている、視点の盲点があります。」,読者の人格や能力を否定するニュアンスを排除し、「構造上の問題」にすり替えることで、UBP判定をすり抜けます。
,,,,,,,
,,,,,,,
,,,,,,,
,LP7_カウンセラーの言語学,,,,,,
,【審査抵触箇所の詳細分析と改善案】,,,,,,
No.,抵触箇所,抵触リスク,関連ポリシー,抵触理由（Andromeda判定）,修正案A（安全重視）,修正案B（訴求力重視）,修正意図・解説
1,「実は夫に殴られている」と打ち明けてきた時,高,扇情的・センシティブな内容,「Violence」「Physical Abuse」に関連するキーワードは、文脈に関わらずAI Risk Purge Systemが自動拒否する最優先対象です。,「実は深刻な家庭内トラブルを抱えている」と打ち明けてきた時,「実は誰にも言えない、身の危険を感じるほどの悩みを」打ち明けてきた時,「殴る」という具体的暴力描写を避け、状況の「深刻さ」に抽象化することで、AIの暴力検知を回避します。
2,フリーズは消えます,中,非現実的な結果の保証,2026年基準では、心理的変化に対して「消える」「100%」等の断定を「Outcome Guarantee」と判定する傾向が強まっています。,フリーズしない土台を築きます,フリーズの連鎖を断ち切り、フロー状態へと導きます,「完全に消失する」という結果の保証ではなく、「導く」「土台を作る」というプロセスの提供に主語を移します。
3,資格があってもなくても、クライアントを輝く未来に導く,中,誤解を招く主張,心理職において「資格の有無を問わない」表現は、一部の法域や厳格なAIレビューにおいて「無資格者による医療類似行為の助長」と誤認されるリスクがあります。,経験の長短や資格の有無を超えた、「現場で通用する対応力」を,資格の枠を超え、目の前のクライアントの人生に深く関わる「真の実力」を,「資格不要」を強調するのではなく、「資格以上の実力（対応力）」に焦点を当てることで、専門性を維持します。